"estimated_load","latitude","longitude","route_number","speed","vehicle_number","event_timestamp"
,,,,,"3110","1492200292"
,"45.424338","-122.630817",,"36","3538","1492200293"
,"45.50681","-122.777423",,"21","3540","1492200294"
,"45.512108","-122.625202",,"17","2505","1492200295"
,"45.410663","-122.627912",,"22","3110","1492200296"
,"45.58874","-122.746038",,"3","3547","1492200296"
,,,,,"3547","1492200297"
,"45.42504","-122.631075",,"35","3538","1492200298"
,"45.507003","-122.776735",,"26","3540","1492200299"
,,,,,"3239","1492200299"
,"45.51211","-122.625577",,"12","2505","1492200300"
,"45.521272","-122.681252",,"11","3038","1492200300"
,,,,,"3239","1492200300"
,"45.410225","-122.627575",,"25","3110","1492200301"
,"45.588613","-122.745477",,"21","3547","1492200301"
,"45.42572","-122.631312",,"34","3538","1492200303"
,"45.55629","-122.569075",,"9","3239","1492200303"
,"45.507118","-122.776288",,"14","3540","1492200304"
"17","45.51211","-122.625675","14","2","2505","1492200305"
,"45.52136","-122.681557",,"13","3038","1492200305"
,"45.409785","-122.627237",,"25","3110","1492200306"
"2","45.42572","-122.631311","32",,"3538","1492200306"
,"45.588478","-122.744895",,"21","3547","1492200306"
,,,,,"3538","1492200307"
,"45.426395","-122.631547",,"34","3538","1492200308"
,"45.507152","-122.77612",,"7","3540","1492200309"
"3","45.556612","-122.568337","12","26","3239","1492200309"
,"45.521462","-122.68194",,"13","3038","1492200310"
,,,,,"3239","1492200310"
,"45.409442","-122.626973",,"18","3110","1492200311"
,"45.588338","-122.7443",,"21","3547","1492200311"
,"45.4271","-122.63178",,"36","3538","1492200313"
,"45.507193","-122.775597",,"19","3540","1492200314"
,"45.556967","-122.56752",,"34","3239","1492200314"
,"45.52149","-122.682048",,"3","3038","1492200315"
,"45.409245","-122.626822",,"10","3110","1492200316"
,"45.588213","-122.743763",,"19","3547","1492200316"
,"45.427788","-122.632012",,"34","3538","1492200318"
,"45.507165","-122.7749",,"25","3540","1492200319"
,"45.557327","-122.566647",,"35","3239","1492200319"
,"45.58811","-122.743413",,"12","3547","1492200321"
"2","45.427788","-122.632011","32",,"3538","1492200322"
,"45.428448","-122.632233",,"34","3538","1492200323"
,"45.507025","-122.774087",,"30","3540","1492200324"
,"45.557657","-122.565808",,"32","3239","1492200324"
"6","45.588085","-122.743326","75",,"3547","1492200325"
,"45.409075","-122.62669",,"10","3110","1492200326"
,"45.429072","-122.63243",,"31","3538","1492200328"
,"45.557897","-122.565247",,"25","3239","1492200328"
,"45.50684","-122.773133",,"35","3540","1492200329"
,"45.408785","-122.626467",,"17","3110","1492200331"
,,,,,"2505","1492200332"
,,,,,"2505","1492200333"
,"45.429568","-122.63256",,"24","3538","1492200333"
,"45.558148","-122.565153",,"13","3239","1492200333"
,"45.506645","-122.77204",,"39","3540","1492200334"
,"45.512105","-122.626295",,"4","2505","1492200335"
,"45.521492","-122.682063",,"3","3038","1492200335"
,"45.408372","-122.626147",,"24","3110","1492200336"
"13","45.408372","-122.626146","33",,"3110","1492200337"
,,,,,"3110","1492200338"
,"45.42998","-122.632682",,"20","3538","1492200338"
,"45.558382","-122.565047",,"13","3239","1492200338"
,"45.50643","-122.770862",,"43","3540","1492200339"
"36","45.509992","-122.851456","100",,"304","1492200339"
,"45.512107","-122.62661",,"8","2505","1492200340"
,"45.52155","-122.682278",,"9","3038","1492200340"
,"45.407868","-122.62576",,"28","3110","1492200341"
,"45.588032","-122.743012",,"5","3547","1492200341"
,,,,,"3547","1492200342"
,"45.430362","-122.632742",,"19","3538","1492200343"
,"45.506223","-122.769588",,"46","3540","1492200344"
,"45.558502","-122.564863",,"5","3239","1492200344"
"2","45.430362","-122.632741","32",,"3538","1492200345"
,"45.521555","-122.6825",,"8","3038","1492200345"
,"45.407355","-122.62537",,"29","3110","1492200346"
,,,,,"3538","1492200346"
,"45.5879","-122.742455",,"21","3547","1492200346"
"2","45.55858","-122.564787","12",,"3239","1492200346"
,"45.430823","-122.632793",,"23","3538","1492200348"
,"45.506038","-122.768233",,"48","3540","1492200349"
,"45.512105","-122.626955",,"15","2505","1492200350"
,"45.521302","-122.682707",,"15","3038","1492200350"
,"45.406857","-122.624992",,"28","3110","1492200351"
,"45.58775","-122.741827",,"23","3547","1492200351"
,"45.431263","-122.632772",,"21","3538","1492200353"
,"45.505873","-122.766845",,"49","3540","1492200354"
,"45.512107","-122.627558",,"21","2505","1492200355"
,"45.521118","-122.682803",,"7","3038","1492200355"
,"45.406377","-122.624623",,"27","3110","1492200356"
,"45.587598","-122.741168",,"24","3547","1492200356"
"12","45.521113","-122.682804","15",,"3038","1492200357"
,"45.431548","-122.632232",,"25","3538","1492200358"
,"45.505745","-122.765473",,"48","3540","1492200359"
,"45.51211","-122.628078",,"17","2505","1492200360"
"13","45.405962","-122.624307","33","23","3110","1492200361"
,"45.587433","-122.74048",,"25","3547","1492200361"
,,,,,"3110","1492200362"
,"45.431638","-122.631448",,"27","3538","1492200363"
,,,,,"3239","1492200363"
,"45.505652","-122.764145",,"46","3540","1492200364"
,"45.558788","-122.564563",,"5","3239","1492200364"
,"45.512112","-122.628445",,"13","2505","1492200365"
,"45.405618","-122.624042",,"18","3110","1492200366"
,"45.58728","-122.739835",,"23","3547","1492200366"
,"45.431613","-122.630773",,"22","3538","1492200368"
,"45.505585","-122.762872",,"44","3540","1492200369"
,"45.558863","-122.56435",,"7","3239","1492200369"
,"45.51211","-122.628857",,"14","2505","1492200370"
,"45.405407","-122.623882",,"11","3110","1492200371"
,"45.587128","-122.739352",,"17","3547","1492200371"
,"45.431617","-122.630343",,"14","3538","1492200373"
,,,,,"3038","1492200373"
,"45.505543","-122.761622",,"43","3540","1492200374"
,,,,,"3038","1492200374"
,"45.558735","-122.564168",,"9","3239","1492200374"
,"45.512112","-122.629263",,"13","2505","1492200375"
,"45.520935","-122.682895",,"3","3038","1492200375"
,"45.405328","-122.623823",,"4","3110","1492200376"
"9","45.587095","-122.739247","75","3","3547","1492200376"
,"45.431988","-122.630325",,"21","3538","1492200378"
,"45.505527","-122.760413",,"42","3540","1492200379"
"2","45.431989","-122.630324","32",,"3538","1492200379"
,"45.558558","-122.564112",,"8","3239","1492200379"
,"45.512118","-122.629452",,"4","2505","1492200380"
,,,,,"3538","1492200380"
,"45.52058","-122.683073",,"19","3038","1492200380"
"18","45.512117","-122.629741","14",,"2505","1492200382"
,"45.432457","-122.630722",,"27","3538","1492200383"
,"45.505535","-122.759303",,"38","3540","1492200384"
,"45.55843","-122.56412",,"7","3239","1492200384"
,"45.520372","-122.683187",,"9","3038","1492200385"
,"45.405195","-122.623723",,"9","3110","1492200386"
,"45.432865","-122.631095",,"23","3538","1492200388"
,"45.505553","-122.758622",,"22","3540","1492200389"
,"45.558325","-122.564423",,"13","3239","1492200389"
,"45.52034","-122.683382",,"9","3038","1492200390"
,"45.404955","-122.62354",,"14","3110","1492200391"
,"45.433145","-122.631257",,"15","3538","1492200393"
,,,,,"3547","1492200393"
,"45.505583","-122.758095",,"18","3540","1492200394"
,,,,,"3547","1492200394"
,"45.558258","-122.564683",,"8","3239","1492200394"
,"45.520422","-122.683727",,"13","3038","1492200395"
,"45.404662","-122.623332",,"17","3110","1492200396"
,"45.58699","-122.738705",,"5","3547","1492200396"
,"45.43353","-122.630953",,"23","3538","1492200398"
,"45.505612","-122.757585",,"18","3540","1492200399"
"0","45.558242","-122.564727","12","1","3239","1492200399"
,"45.520475","-122.683932",,"5","3038","1492200400"
,,,,,"3239","1492200400"
,"45.404412","-122.623185",,"12","3110","1492200401"
,"45.586862","-122.738158",,"20","3547","1492200401"
,"45.433992","-122.630518",,"27","3538","1492200403"
,"45.505638","-122.757037",,"19","3540","1492200404"
"12","45.404357","-122.62315","33","2","3110","1492200406"
,"45.58672","-122.737563",,"22","3547","1492200406"
,"45.434478","-122.63009",,"28","3538","1492200408"
,"45.505668","-122.756482",,"19","3540","1492200409"
,,,,,"2505","1492200410"
,,,,,"2505","1492200411"
,"45.586603","-122.73712",,"14","3547","1492200411"
,"45.434987","-122.629715",,"28","3538","1492200413"
,"45.505697","-122.755982",,"17","3540","1492200414"
,"45.51211","-122.630258",,"4","2505","1492200415"
"13","45.586582","-122.737038","75",,"3547","1492200415"
"2","45.435497","-122.629382","32","27","3538","1492200418"
,"45.505727","-122.755525",,"16","3540","1492200419"
,,,,,"3538","1492200419"
,"45.512112","-122.630835",,"20","2505","1492200420"
,"45.520482","-122.683952",,"1","3038","1492200420"
,"45.435822","-122.629197",,"15","3538","1492200423"
,"45.505758","-122.755078",,"16","3540","1492200424"
